0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
106,CHHABRA UNIT-4 (2X250 MW),STATE,250,20-08-08,RAJASTHAN,BTG,PSNR,RRVUNL,27-09-09,20-12-10,22-03-10,06-06-11,N.A.,N.A.,23-11-10,07-12-12,15-04-11,17-01-14,N.A.,N.A.,26-04-11,20-01-14,02-05-11,24-01-14,20-05-11,11-03-14,20-06-11,20-03-14,N.A.,N.A.,22-04-10,20-10-12,N.A.,N.A.,27-05-11,29-03-14,07-06-11,04-02-14,04-07-11,12-03-14,10-07-11,29-03-14,N.A.,N.A.,31-07-11,23-04-14,30-09-11,30-06-14,N.A.,N.A.,30-09-11,30-12-14,30-09-11,30-12-14,N.A.,N.A.
107,SHREE SINGAJI (EARLIER MALWA) TPP STAGE-1 UNIT-2 (2X600 MW),STATE,600,12-12-08,MADHYA PRADESH,BTG + CIVIL,PSSR,MPPGCL,12-02-10,03-12-10,11-09-10,30-09-11,N.A.,N.A.,11-08-11,30-11-12,11-03-12,25-12-13,N.A.,N.A.,24-03-12,11-02-14,31-03-12,13-02-14,01-04-12,07-03-14,11-04-12,16-05-14,N.A.,N.A.,12-12-10,28-09-12,12-02-11,25-12-12,11-02-12,23-02-14,11-03-12,06-03-14,11-03-12,18-09-14,05-05-12,22-09-14,N.A.,N.A.,11-05-12,11-10-14,11-07-12,15-10-14,N.A.,N.A.,11-10-12,28-12-14,11-09-12,31-07-15,N.A.,N.A.
108,JINDAL POWER LTD-RAIGARH UNIT # 3 (4X600MW) (NUMBER AT SITE-1),PRIVATE,600,27-12-08,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",15-08-12,23-11-12,11-12-12,27-02-13,N.A.,N.A.,05-09-13,30-10-13,05-02-14,25-01-14,N.A.,N.A.,08-03-14,06-02-14,11-03-14,09-02-14,15-03-14,20-02-14,05-04-14,07-03-14,N.A.,N.A.,18-01-13,01-10-13,N.A.,N.A.,15-01-14,10-02-14,15-02-14,15-12-13,15-03-14,14-03-14,15-04-14,28-03-14,N.A.,N.A.,15-05-14,31-03-14,16-06-14,07-01-15,N.A.,N.A.,30-08-14,14-01-15,15-08-14,14-01-15,,
109,NEYVELI TPS II EXPANSION UNIT-2 (2X250 MW),CENTRAL,250,19-08-05,TAMILNADU,EPC,PSSR,NLC,20-10-06,25-07-07,19-03-07,31-05-08,N.A.,N.A.,18-01-08,30-07-10,19-06-08,28-02-13,N.A.,N.A.,01-07-08,23-05-13,10-07-08,26-05-13,01-08-08,23-07-13,01-09-08,14-08-13,N.A.,N.A.,19-05-07,30-06-09,N.A.,N.A.,17-05-08,06-05-11,16-06-08,14-02-12,18-07-08,06-06-12,18-08-08,09-08-12,N.A.,N.A.,19-09-08,23-11-14,19-11-08,24-01-15,N.A.,N.A.,22-11-08,21-04-15,19-12-08,04-05-16,N.A.,N.A.
110,"JITPL, DERANG UNIT-2 (2 X 600 MW)",PRIVATE,600,26-06-09,ORISSA,BTG,PSSR,JINDAL INDIA THERMAL POWER LTD,14-11-10,29-04-11,13-04-11,27-12-11,N.A.,N.A.,20-01-12,18-05-13,21-07-12,02-08-14,N.A.,N.A.,25-07-12,10-08-14,22-08-12,14-08-14,06-09-12,27-09-14,21-10-12,29-10-14,N.A.,N.A.,22-05-11,01-08-13,22-06-11,06-11-13,10-08-12,25-07-14,10-08-12,18-08-14,22-09-12,21-10-14,11-10-12,11-11-14,N.A.,N.A.,08-11-12,14-12-14,24-11-12,24-01-15,N.A.,N.A.,24-11-12,07-02-15,24-11-12,21-02-15,N.A.,N.A.
111,AMRAVATI TPP PH-I UNIT-3 (5 X 270 MW),PRIVATE,270,30-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,30-11-10,06-01-11,31-03-11,17-06-11,N.A.,N.A.,31-12-11,11-10-12,31-03-12,12-03-14,N.A.,N.A.,25-04-12,05-10-14,30-04-12,12-10-14,05-05-12,10-12-14,30-05-12,28-12-14,N.A.,N.A.,31-07-11,20-01-12,N.A.,N.A.,31-05-12,19-06-13,01-06-12,24-10-13,25-06-12,30-12-13,30-06-12,16-01-14,N.A.,N.A.,30-06-12,18-01-15,30-07-12,29-01-15,N.A.,N.A.,30-09-12,02-02-15,30-09-12,02-02-15,N.A.,N.A.
112,BARH STPP STAGE-II UNIT-5 (2X660MW),CENTRAL,660,31-03-08,BIHAR,BTG,PSER,NTPC,30-09-09,26-02-10,N.A.,N.A.,N.A.,N.A.,30-03-11,29-11-13,30-10-11,11-06-14,N.A.,N.A.,15-12-11,13-10-14,21-12-11,29-10-14,01-12-12,12-11-14,30-01-12,07-01-15,N.A.,N.A.,14-02-11,25-01-12,14-04-11,01-01-13,14-03-12,21-04-14,14-05-12,09-02-14,14-06-12,04-12-14,14-07-12,05-12-14,N.A.,N.A.,14-08-12,01-03-15,14-12-12,04-03-15,N.A.,N.A.,14-12-12,18-02-16,14-12-12,20-03-17,N.A.,N.A.
113,AMRAVATI TPP PH-I UNIT-4 (5 X 270 MW),PRIVATE,270,30-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,31-01-11,17-02-11,31-05-11,27-11-11,N.A.,N.A.,29-02-12,30-03-13,31-05-12,26-12-14,N.A.,N.A.,25-06-12,29-12-14,30-06-12,01-01-15,05-05-12,12-01-15,30-05-12,24-01-15,N.A.,N.A.,30-09-11,29-06-12,N.A.,N.A.,31-07-12,04-10-13,01-08-12,09-06-14,25-08-12,07-10-14,31-08-12,02-12-14,N.A.,N.A.,30-08-12,02-03-15,30-09-12,04-03-15,N.A.,N.A.,30-11-12,07-03-15,30-11-12,07-03-15,N.A.,N.A.
114,TUTICORIN UNIT-1 (2X500 MW ),CENTRAL,500,28-01-09,TAMILNADU,BTG + CIVIL,PSSR,NTPL,25-11-09,03-11-10,29-04-10,29-09-11,N.A.,N.A.,31-03-11,28-09-12,31-10-11,19-03-14,N.A.,N.A.,01-11-11,05-04-14,13-11-11,10-04-14,15-11-11,21-05-14,10-12-11,19-06-14,N.A.,N.A.,15-09-10,10-07-12,N.A.,N.A.,14-10-11,23-10-13,30-10-11,20-01-14,14-12-11,06-06-14,30-12-11,20-07-14,N.A.,N.A.,28-01-12,18-02-15,28-03-12,10-03-15,N.A.,N.A.,31-03-12,06-06-15,28-04-12,22-01-16,N.A.,N.A.
115,AMRAVATI TPP PH-I UNIT-5 (5 X 270 MW),PRIVATE,270,30-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,31-03-11,25-03-11,31-07-11,13-01-12,N.A.,N.A.,30-04-12,06-12-14,31-07-12,26-01-15,N.A.,N.A.,25-08-12,29-01-15,30-08-12,02-02-15,05-09-12,06-02-15,30-09-12,15-02-15,N.A.,N.A.,30-11-11,16-07-13,N.A.,N.A.,30-09-12,19-10-14,01-10-12,10-12-14,25-10-12,09-02-15,31-10-12,26-02-15,N.A.,N.A.,30-10-12,11-03-15,30-11-12,12-03-15,N.A.,N.A.,31-01-13,25-03-15,31-01-13,01-12-15,N.A.,N.A.
116,DB SUPER TPP (JANJGIR CHAMPA) UNIT-2 (2X600 MW),PRIVATE,600,24-06-10,CHHATTISGARH,BTG,PSWR,D.B. POWER LTD.,25-09-11,05-08-11,24-01-12,24-02-12,N.A.,N.A.,25-11-12,04-03-13,25-04-13,24-12-13,N.A.,N.A.,10-05-13,09-01-14,20-05-13,13-01-14,25-05-13,28-02-14,24-06-13,07-03-14,N.A.,N.A.,25-03-12,15-12-12,N.A.,N.A.,25-04-13,16-01-14,01-07-13,20-01-14,27-07-13,02-03-14,27-08-13,26-03-14,N.A.,N.A.,23-10-13,30-03-14,22-12-13,24-03-15,N.A.,N.A.,22-01-14,21-03-16,22-01-14,21-03-16,,
117,JINDAL POWER LTD-RAIGARH UNIT # 4 (4X600MW) (NUMBER AT SITE-4),PRIVATE,600,27-12-08,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",15-09-12,03-05-13,31-01-13,18-10-13,N.A.,N.A.,16-11-13,26-07-14,02-05-14,15-01-15,N.A.,N.A.,08-05-14,21-01-15,28-05-14,24-01-15,10-06-14,08-02-15,30-06-14,23-02-15,N.A.,N.A.,15-03-13,10-02-14,N.A.,N.A.,14-04-14,22-10-14,14-05-14,23-10-14,30-06-14,13-02-15,15-07-14,16-03-15,N.A.,N.A.,14-08-14,26-03-15,15-09-14,28-03-15,N.A.,N.A.,30-11-14,11-12-16,15-11-14,11-12-16,N.A.,N.A.
118,SIKKA TPS UNIT-3 ( 2X250 MW ),STATE,250,10-07-11,GUJARAT,EPC,PSWR,GSECL,15-12-11,24-10-11,13-05-12,29-03-12,N.A.,N.A.,13-01-13,02-03-13,13-06-13,22-03-14,N.A.,N.A.,13-07-13,17-11-14,20-07-13,19-11-14,13-05-13,08-12-14,22-09-13,31-12-14,N.A.,N.A.,13-06-12,30-10-12,N.A.,N.A.,03-05-13,06-06-14,03-06-13,15-07-14,18-06-13,22-10-14,13-07-13,06-12-14,N.A.,N.A.,27-08-13,09-02-15,10-10-13,29-03-15,N.A.,N.A.,10-10-13,14-09-15,10-10-13,,N.A.,N.A.
119,CHANDRAPUR MEGA POWER PROJECT UNIT-8 (2X500 MW),STATE,500,09-02-09,MAHARASHTRA,BTG,PSWR,MAHAGENCO,09-01-10,01-06-10,09-07-10,29-03-11,N.A.,N.A.,09-06-11,05-06-12,09-01-12,30-03-14,N.A.,N.A.,09-02-12,24-05-14,09-03-12,27-06-14,09-03-12,21-09-14,09-04-12,18-10-14,N.A.,N.A.,09-10-10,25-04-12,N.A.,N.A.,09-12-11,23-11-13,09-01-12,03-03-14,09-02-12,09-08-14,09-03-12,15-12-14,09-04-12,11-01-15,09-04-12,11-01-15,09-05-12,29-03-15,N.A.,N.A.,09-07-12,04-06-16,09-07-12,10-11-15,N.A.,N.A.
120,MUZAFFARPUR TPP STG.II UNIT-3 (2X195 MW) ,CENTRAL,195,12-03-10,BIHAR,BTG,PSER,KANTI BIJALI UTPADAN NIGAM LTD,11-12-10,30-08-11,11-04-11,06-03-12,N.A.,N.A.,11-01-12,25-02-13,11-05-12,08-11-14,N.A.,N.A.,11-05-12,12-12-14,30-05-12,17-12-14,20-06-12,23-01-15,11-07-12,12-02-15,N.A.,N.A.,11-08-11,10-12-12,N.A.,N.A.,11-06-12,30-09-14,20-06-12,09-01-15,20-07-12,12-03-15,20-08-12,23-03-15,N.A.,N.A.,11-09-12,31-03-15,11-11-12,31-03-15,N.A.,N.A.,11-11-12,10-03-17,11-11-12,19-12-17,N.A.,N.A.
121,KRISHNAPATNAM UNIT-1 (2X800 MW) ,STATE,800,29-08-08,AHDHRA PRADESH,SG,PSSR,APGENCO/ APPDCL,27-01-10,20-02-11,N.A.,N.A.,27-09-10,30-10-11,30-07-11,24-03-13,18-01-12,13-08-13,N.A.,N.A.,N.A.,N.A.,29-02-12,09-09-13,N.A.,N.A.,,13-03-14,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-05-12,31-03-14,28-07-12,28-08-14,N.A.,N.A.,22-08-12,04-02-15,28-07-12,04-02-15,N.A.,N.A.
122,KRISHNAPATNAM UNIT-2 (2X800 MW) ,STATE,800,29-08-08,AHDHRA PRADESH,SG,PSSR,APGENCO/ APPDCL,27-07-10,27-04-11,N.A.,N.A.,27-03-11,31-12-11,30-01-12,17-12-13,18-07-12,22-06-14,N.A.,N.A.,,,N.A.,N.A.,24-04-12,13-09-14,29-05-12,20-11-14,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-12,16-12-14,28-01-13,17-03-15,N.A.,N.A.,22-02-13,23-08-15,28-01-13,23-08-15,N.A.,N.A.
123,ANPARA D TPP UNIT-6 (2 X 500 MW),STATE,500,13-01-08,UTTAR PRADESH,"EPC EXCEPT SWITCH YARD, CHP & WATER SYSTEM",PSNR,UPRVUNL,13-02-09,02-08-10,12-08-09,03-04-11,N.A.,N.A.,11-06-10,29-10-12,12-11-10,18-12-14,N.A.,N.A.,13-11-10,24-01-15,28-11-10,27-01-15,11-01-11,18-02-15,10-02-11,03-03-15,N.A.,N.A.,13-11-09,13-06-12,13-01-10,15-01-13,12-11-10,20-02-14,27-11-10,22-12-14,06-01-11,13-03-15,27-01-11,22-03-15,N.A.,N.A.,18-02-11,31-03-15,12-04-11,06-06-15,N.A.,N.A.,12-04-11,08-05-16,12-04-11,28-11-16,12-04-11,29-11-16
124,BONGAIGAON PROJECT UNIT-1 (3 X 250 MW) ,CENTRAL,250,05-02-08,ASSAM,BTG,PSER,NTPC,05-11-08,30-04-09,05-03-09,25-01-10,N.A.,N.A.,05-12-09,31-01-11,05-05-10,29-11-14,N.A.,N.A.,10-05-10,28-12-14,17-05-10,31-12-14,20-05-10,01-03-15,20-06-10,01-04-15,N.A.,N.A.,05-07-09,28-12-11,06-09-09,05-05-12,05-05-10,29-05-15,11-05-10,16-01-15,04-06-10,06-05-15,12-07-10,03-06-15,N.A.,N.A.,05-08-10,22-06-15,05-11-10,22-06-15,N.A.,N.A.,05-11-10,26-03-16,05-11-10,01-04-16,N.A.,N.A.
125,TUTICORIN UNIT-2 (2X500 MW ),CENTRAL,500,28-01-09,TAMILNADU,BTG + CIVIL,PSSR,NTPL,25-04-10,15-12-10,29-09-10,22-09-11,N.A.,N.A.,31-08-11,09-11-12,31-03-12,23-09-14,N.A.,N.A.,01-04-12,10-10-14,13-04-12,14-10-14,15-04-12,02-02-15,10-05-12,26-02-15,N.A.,N.A.,15-02-11,21-01-13,N.A.,N.A.,14-03-12,11-04-14,30-03-12,08-09-14,14-05-12,05-12-14,31-05-12,24-03-15,N.A.,N.A.,28-06-12,09-04-15,28-08-12,09-07-15,N.A.,N.A.,31-08-12,28-08-15,28-09-12,03-05-16,N.A.,N.A.
126,VINDHYACHAL STPP STAGE-V UNIT-13 (1X500 MW),CENTRAL,500,03-05-12,MADHYA PRADESH,BTG,PSWR,NTPC,02-03-13,28-06-13,02-08-13,24-11-13,N.A.,N.A.,02-07-14,20-08-14,02-01-15,23-04-15,N.A.,N.A.,25-01-15,24-04-15,02-02-15,27-04-15,02-02-15,08-05-15,02-03-15,29-05-15,N.A.,N.A.,02-12-13,08-07-14,02-02-14,10-09-14,02-01-15,25-01-15,01-02-15,25-04-15,02-03-15,24-06-15,22-04-15,23-07-15,N.A.,N.A.,02-05-15,06-08-15,02-05-15,06-08-15,N.A.,N.A.,02-08-15,30-10-15,02-08-15,09-12-15,N.A.,N.A.
127,SIKKA TPS UNIT-4 ( 2X250 MW ),STATE,250,10-07-11,GUJARAT,EPC,PSWR,GSECL,15-03-12,09-01-12,13-08-12,23-05-12,N.A.,N.A.,13-04-13,30-06-13,13-09-13,18-10-14,N.A.,N.A.,13-09-13,20-01-15,20-09-13,23-01-15,13-11-13,21-02-15,13-11-13,03-03-15,N.A.,N.A.,13-09-12,04-01-13,N.A.,N.A.,03-08-13,07-03-14,18-09-13,25-11-14,03-10-13,22-01-15,13-10-13,15-03-15,N.A.,N.A.,27-11-13,30-08-15,10-01-14,25-09-15,N.A.,N.A.,10-01-14,27-12-15,10-01-14,,N.A.,N.A.
128,HNPCL/VIZAG TPP UNIT-1 (2 X 520 MW),PRIVATE,520,30-06-10,AHDHRA PRADESH,EPC,PSER,HINDUJA NATIONAL POWER CORPORATION LTD (HNPCL),30-06-11,30-05-11,15-11-11,10-01-12,N.A.,N.A.,30-09-12,28-12-12,15-02-13,22-03-14,N.A.,N.A.,17-02-13,10-08-14,04-03-13,14-08-14,15-03-13,24-09-14,15-04-13,20-03-15,N.A.,N.A.,15-02-12,25-07-12,15-03-12,06-11-12,31-01-13,24-09-13,01-03-13,27-03-14,31-03-13,25-06-14,30-04-13,05-08-14,15-05-13,04-12-15,15-05-13,06-12-15,15-06-13,06-12-15,N.A.,N.A.,30-06-13,10-01-16,30-06-13,05-09-16,30-06-13,
129,SAGARDIGHI TPP UNIT-3 (2X500 MW),STATE,500,22-02-11,WEST BENGAL,BTG+CIVIL,PSER,WBPDCL,04-03-12,16-03-12,22-08-12,13-09-12,N.A.,N.A.,08-07-13,31-08-13,22-04-14,30-01-15,N.A.,N.A.,25-04-14,13-02-15,05-05-14,17-02-15,07-05-14,27-02-15,01-06-14,11-03-15,N.A.,N.A.,25-11-12,14-06-13,N.A.,N.A.,08-04-14,24-07-14,24-04-14,19-01-15,08-06-14,24-02-15,25-06-14,16-03-15,N.A.,N.A.,22-08-14,31-03-15,15-09-14,14-12-15,N.A.,N.A.,22-11-14,01-07-16,22-09-14,28-09-17,N.A.,N.A.
130,BARA PRAYAGRAJ STPP UNIT-1 (3X660 MW) ,PRIVATE,660,21-10-09,UTTAR PRADESH ,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",20-11-10,12-07-11,N.A.,N.A.,20-05-11,10-03-12,20-06-12,24-10-13,20-02-13,31-03-15,N.A.,N.A.,21-02-13,06-04-15,20-03-13,04-05-15,01-05-13,30-06-15,20-05-13,18-08-15,N.A.,N.A.,21-02-12,31-01-13,21-03-12,09-02-13,20-02-13,20-02-14,21-03-13,18-12-14,20-04-13,18-03-15,20-05-13,29-06-15,N.A.,N.A.,20-07-13,31-10-15,20-08-13,25-12-15,N.A.,N.A.,20-09-13,29-02-16,20-09-13,07-03-16,N.A.,N.A.
131,KAKATIYA STG -2 (1X600 MW),STATE,600,21-01-09,TELANGANA,BTG,PSSR,APGENCO,21-01-10,05-05-11,21-07-10,07-04-12,N.A.,N.A.,21-07-11,24-06-13,21-01-12,31-05-15,N.A.,N.A.,01-02-12,20-07-15,06-02-12,26-07-15,20-03-12,15-08-15,21-04-12,30-08-15,N.A.,N.A.,21-05-10,06-05-13,21-07-10,06-05-13,21-01-12,17-11-14,30-01-12,25-06-15,21-02-12,23-08-15,21-03-12,26-09-15,N.A.,N.A.,21-05-12,22-10-15,21-07-12,31-12-15,N.A.,N.A.,21-07-12,24-03-16,21-07-12,24-03-16,N.A.,N.A.
132,LALITPUR STP PROJECT UNIT-2 (3 X 660 MW),PRIVATE,660,21-03-11,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),20-06-12,27-09-12,N.A.,N.A.,,27-04-13,20-01-14,29-09-14,05-09-14,17-08-15,N.A.,N.A.,,18-08-15,02-10-14,23-08-15,,24-09-15,02-12-14,01-11-15,N.A.,N.A.,20-05-13,24-06-14,20-07-13,24-07-14,05-09-14,02-11-15,,27-07-15,05-11-14,05-11-15,05-12-14,05-11-15,N.A.,N.A.,20-01-15,23-12-15,05-02-15,08-01-16,N.A.,N.A.,20-02-15,14-10-16,20-02-15,17-01-17,20-02-15,
133,GOINDWAL THERMAL POWER PROJECT UNIT-1 (2X270MW),PRIVATE,270,19-10-09,PUNJAB,BTG,PSNR,GVK-POWER (GOINDWAL SAHIB) LTD.,30-07-10,06-09-10,19-12-10,08-03-11,N.A.,N.A.,31-08-11,10-04-12,31-12-11,19-01-13,N.A.,N.A.,15-01-12,29-01-13,31-01-12,03-02-13,04-02-12,11-03-13,19-02-12,23-03-13,N.A.,N.A.,28-02-11,18-08-11,N.A.,N.A.,30-11-11,09-11-12,05-01-12,05-12-12,19-01-12,04-02-13,02-02-12,02-03-13,N.A.,N.A.,20-03-12,06-07-13,18-07-12,14-02-16,N.A.,N.A.,18-07-12,,18-07-12,,N.A.,N.A.
134,BELLARY UNIT-3 (700 MW),STATE,700,29-09-10,KARNATAKA,EPC,PSSR,KPCL,27-01-12,26-11-12,N.A.,N.A.,27-02-13,27-02-14,27-08-13,30-11-14,27-03-14,28-03-15,N.A.,N.A.,10-04-14,03-05-15,10-04-14,04-05-15,15-04-14,23-07-15,15-05-14,10-10-15,N.A.,N.A.,27-12-12,07-11-13,27-12-12,07-11-13,27-02-14,12-06-15,01-03-14,25-05-15,27-03-14,29-09-15,27-04-14,05-11-15,N.A.,N.A.,27-05-14,25-12-15,27-05-14,01-03-16,N.A.,N.A.,27-05-14,16-09-16,27-05-14,31-01-22,N.A.,N.A.
135,ANPARA D TPP UNIT-7 (2 X 500 MW),STATE,500,13-01-08,UTTAR PRADESH,"EPC EXCEPT SWITCH YARD, CHP & WATER SYSTEM",PSNR,UPRVUNL,13-05-09,27-11-10,12-11-09,05-12-11,N.A.,N.A.,11-09-10,03-07-13,12-02-11,31-08-15,N.A.,N.A.,13-02-11,15-10-15,28-02-11,19-10-15,11-04-11,31-10-15,10-05-11,28-11-15,N.A.,N.A.,13-02-10,25-10-12,13-04-10,07-10-13,12-02-11,30-03-14,27-02-11,11-09-15,06-04-11,05-01-16,27-04-11,20-01-16,N.A.,N.A.,18-05-11,23-02-16,12-07-11,06-03-16,N.A.,N.A.,12-07-11,18-10-16,12-07-11,10-03-17,12-07-11,11-03-17
136,SINGARENI (ADILABAD) UNIT-1 (2X600 MW),CENTRAL,600,11-11-11,TELANGANA,BTG + CIVIL+SWITCHYARD,PSER,SCCL,12-08-12,14-02-13,08-02-13,12-09-13,N.A.,N.A.,10-12-13,27-08-14,28-05-14,03-07-15,N.A.,N.A.,,04-11-15,,14-11-15,,20-12-15,,05-01-16,N.A.,N.A.,14-05-13,31-07-14,14-07-13,27-10-14,09-05-14,31-07-15,,05-08-15,,16-10-15,11-09-14,27-12-15,N.A.,N.A.,09-11-14,13-03-16,09-12-14,13-03-16,N.A.,N.A.,09-02-15,25-09-16,09-02-15,25-09-16,N.A.,N.A.
137,GOINDWAL THERMAL POWER PROJECT UNIT-2 (2X270MW),PRIVATE,270,19-10-09,PUNJAB,BTG,PSNR,GVK-POWER (GOINDWAL SAHIB) LTD.,30-10-10,19-11-10,19-03-11,24-07-11,N.A.,N.A.,30-11-11,26-09-12,30-03-12,25-09-13,N.A.,N.A.,15-04-12,26-09-13,30-04-12,29-09-13,04-05-12,19-12-13,19-05-12,30-12-13,N.A.,N.A.,28-05-11,05-03-12,N.A.,N.A.,29-02-12,27-12-13,19-03-12,30-09-13,19-04-12,28-11-13,02-05-12,27-12-13,N.A.,N.A.,20-06-12,04-03-14,18-10-12,15-03-16,N.A.,N.A.,18-10-12,,18-10-12,,N.A.,N.A.
138,NABINAGAR UNIT-1 (4X250 MW ),CENTRAL,250,22-01-08,BIHAR,BTG,PSER,BRBCL,31-05-11,15-07-11,30-09-11,20-10-12,N.A.,N.A.,30-06-12,11-04-14,30-11-12,30-03-15,N.A.,N.A.,03-12-12,02-09-15,08-12-12,13-09-15,10-12-12,18-12-15,31-12-12,08-01-16,N.A.,N.A.,28-02-12,06-02-14,30-04-12,01-09-14,31-12-12,17-12-15,03-01-13,14-08-15,31-01-13,30-12-15,10-02-13,08-02-16,N.A.,N.A.,28-02-13,20-03-16,31-05-13,20-03-16,31-05-13,20-03-16,31-05-13,05-01-17,31-05-13,05-09-17,N.A.,N.A.
139,CHANDRAPUR MEGA POWER PROJECT UNIT-9 (2X500 MW),STATE,500,09-02-09,MAHARASHTRA,BTG,PSWR,MAHAGENCO,09-04-10,05-01-11,09-10-10,25-09-11,N.A.,N.A.,09-09-11,30-10-12,09-04-12,07-05-15,N.A.,N.A.,09-05-12,19-08-15,09-06-12,21-08-15,09-06-12,09-12-15,09-07-12,26-12-15,N.A.,N.A.,09-01-11,14-11-13,N.A.,N.A.,09-03-12,23-05-15,09-04-12,17-06-15,09-05-12,21-11-15,09-06-12,02-03-16,N.A.,N.A.,09-07-12,21-03-16,09-08-12,21-03-16,N.A.,N.A.,09-10-12,24-11-16,09-10-12,03-12-16,N.A.,N.A.
140,BOKARO ` A` TPS (1X500 MW),CENTRAL,500,16-09-08,JHARKHAND,EPC,PSER,DVC,16-07-09,24-11-09,16-12-09,01-08-12,N.A.,N.A.,15-11-10,10-12-13,14-06-11,28-09-14,N.A.,N.A.,30-06-11,20-01-15,14-07-11,24-01-15,15-07-11,24-02-15,14-08-11,04-03-15,N.A.,N.A.,15-06-10,15-11-12,16-07-10,15-12-12,16-05-11,31-07-14,05-06-11,06-09-14,15-07-11,05-03-15,15-08-11,19-03-15,N.A.,N.A.,12-09-11,31-03-15,16-12-11,22-03-16,N.A.,N.A.,16-12-11,23-02-17,16-12-11,24-03-17,16-12-11,
141,JHABUA PHASE-I (1 X 600 MW),PRIVATE,600,18-03-10,MADHYA PRADESH,BTG,PSWR,AVANTHA POWER LIMITED (JPL),18-12-10,15-04-11,18-06-11,17-01-12,N.A.,N.A.,18-06-12,22-12-12,18-11-12,12-03-14,N.A.,N.A.,05-12-12,17-05-15,30-12-12,21-05-15,05-01-13,10-06-15,30-01-13,27-06-15,N.A.,N.A.,18-09-11,30-07-12,18-11-11,30-08-12,18-11-12,23-12-13,05-01-13,03-06-14,30-01-13,30-05-15,10-02-13,12-06-15,N.A.,N.A.,18-02-13,23-02-16,18-04-13,22-03-16,N.A.,N.A.,18-04-13,02-05-16,18-04-13,02-05-16,18-04-13,
142,LALITPUR STP PROJECT UNIT-1 (3 X 660 MW),PRIVATE,660,21-03-11,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),20-02-12,23-03-12,N.A.,N.A.,,23-01-13,20-09-13,27-04-14,05-05-14,15-01-15,N.A.,N.A.,,29-01-15,02-06-14,03-02-15,,15-03-15,02-08-14,10-04-15,N.A.,N.A.,20-01-13,10-12-13,20-03-13,31-12-13,05-05-14,30-10-14,N.A.,N.A.,05-07-14,09-03-15,05-08-14,17-04-15,N.A.,N.A.,20-09-14,09-06-15,05-10-14,26-03-16,N.A.,N.A.,20-10-14,01-10-15,20-10-14,31-03-16,N.A.,N.A.
