0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
86,AMRAVATI TPP PH-I UNIT-1 (5 X 270 MW),PRIVATE,270,30-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-07-2010,03-10-2010,30-11-2010,01-03-2011,N.A.,N.A.,31-08-2011,11-03-2012,30-11-2011,25-08-2012,N.A.,N.A.,25-12-2011,15-10-2012,30-12-2011,19-10-2012,05-01-2012,11-01-2013,30-01-2012,31-01-2013,N.A.,N.A.,31-03-2011,11-05-2011,N.A.,N.A.,31-01-2012,09-06-2012,01-02-2012,08-09-2012,25-02-2012,26-12-2012,29-02-2012,19-01-2013,N.A.,N.A.,29-02-2012,09-03-2013,30-03-2012,25-03-2013,N.A.,N.A.,31-05-2012,08-06-2013,31-05-2012,31-05-2013,N.A.,N.A.
87,MAUDA THERMAL POWER PROJECT UNIT-2 (2X500 MW),CENTRAL,500,28-11-2008,MAHARASHTRA,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-02-2010,16-05-2010,27-07-2010,05-12-2010,N.A.,N.A.,27-06-2011,30-11-2011,27-02-2012,27-11-2012,N.A.,N.A.,28-03-2012,30-11-2012,30-03-2012,03-12-2012,27-03-2012,23-12-2012,27-04-2012,31-01-2013,N.A.,N.A.,27-12-2010,25-05-2012,27-02-2011,02-07-2012,27-02-2012,30-12-2012,27-03-2012,12-12-2012,27-04-2012,25-02-2013,20-05-2012,09-03-2013,N.A.,N.A.,27-06-2012,26-03-2013,27-09-2012,29-03-2013,N.A.,N.A.,27-09-2012,29-03-2014,27-09-2012,26-04-2014,N.A.,N.A.
88,ADHUNIK TPP UNIT-2 (2X270 MW),PRIVATE,270,31-07-2009,JHARKHAND,BTG,PSER,APNRL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-05-2010,31-10-2010,30-09-2010,20-02-2011,N.A.,N.A.,30-06-2011,20-03-2012,30-11-2011,15-10-2012,N.A.,N.A.,01-12-2011,16-01-2013,05-12-2011,25-01-2013,06-12-2011,03-03-2013,21-12-2011,11-03-2013,N.A.,N.A.,30-11-2010,30-05-2011,N.A.,N.A.,24-10-2011,22-03-2013,05-11-2011,11-01-2013,24-11-2011,28-02-2013,24-12-2011,22-03-2013,N.A.,N.A.,24-01-2012,29-03-2013,31-03-2012,29-03-2013,N.A.,N.A.,31-03-2012,21-06-2013,31-03-2012,21-06-2013,31-03-2012,
89,BINA UNIT-2 (2 X 250 MW),PRIVATE,250,20-09-2008,MADHYA PRADESH,BTG,PSWR,BPSCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-10-2009,28-01-2010,19-02-2010,06-06-2010,N.A.,N.A.,19-12-2010,24-05-2011,19-04-2011,09-11-2012,N.A.,N.A.,24-06-2011,22-11-2012,30-06-2011,26-11-2012,20-07-2011,22-12-2012,10-08-2011,14-01-2013,N.A.,N.A.,19-04-2010,28-05-2011,N.A.,N.A.,05-06-2010,16-04-2012,30-06-2011,29-09-2012,30-07-2011,10-12-2012,24-08-2011,31-01-2013,N.A.,N.A.,19-09-2011,04-03-2013,19-12-2011,31-03-2013,N.A.,N.A.,19-12-2011,06-04-2013,19-12-2011,21-03-2014,N.A.,N.A.
90,NORTH CHENNAI TPS STAGE-II UNIT-1 (2X600 MW),STATE,600,18-02-2008,TAMILNADU,EPC,PSSR,TANGEDCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-01-2009,20-01-2009,20-06-2009,12-04-2010,N.A.,N.A.,21-05-2010,10-09-2011,30-11-2010,28-11-2012,N.A.,N.A.,21-12-2010,11-01-2013,23-12-2010,13-01-2013,30-12-2010,24-03-2013,23-01-2011,30-04-2013,N.A.,N.A.,20-10-2009,28-04-2011,N.A.,N.A.,20-09-2010,06-06-2013,22-10-2010,02-02-2013,20-11-2010,07-05-2013,21-12-2010,06-06-2013,N.A.,N.A.,20-02-2011,30-06-2013,22-05-2011,13-09-2013,N.A.,N.A.,22-05-2011,18-03-2014,22-05-2011,18-03-2014,,
91,CHHABRA UNIT-3 (2X250 MW),STATE,250,20-08-2008,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-07-2009,23-06-2010,22-01-2010,31-12-2010,N.A.,N.A.,23-09-2010,19-03-2012,15-02-2011,31-12-2012,N.A.,N.A.,26-02-2011,19-01-2013,02-03-2011,22-01-2013,20-03-2011,03-03-2013,20-04-2011,15-03-2013,N.A.,N.A.,22-02-2010,27-08-2011,N.A.,N.A.,27-03-2011,25-01-2013,07-04-2011,25-01-2013,04-05-2011,14-03-2013,N.A.,N.A.,N.A.,N.A.,31-05-2011,15-05-2013,31-07-2011,14-09-2013,N.A.,N.A.,31-07-2011,31-12-2013,31-07-2011,31-12-2013,N.A.,N.A.
92,RIHAND STPP STAGE-III UNIT- 6 (2X500 MW ),CENTRAL,500,28-01-2009,UTTAR PRADESH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-03-2010,25-04-2010,27-08-2010,22-01-2011,N.A.,N.A.,27-07-2011,16-02-2012,27-01-2012,29-12-2012,N.A.,N.A.,27-01-2012,24-01-2013,30-01-2012,31-01-2013,27-02-2012,22-06-2013,27-03-2012,05-07-2013,N.A.,N.A.,16-01-2011,26-07-2012,16-03-2011,07-10-2012,16-02-2012,27-02-2013,17-03-2012,27-05-2013,17-04-2012,02-08-2013,11-05-2012,12-09-2013,N.A.,N.A.,27-05-2012,30-09-2013,27-08-2012,07-10-2013,N.A.,N.A.,27-08-2012,27-03-2014,27-08-2012,01-05-2014,N.A.,N.A.
93,SHREE SINGAJI (EARLIER MALWA) TPP STAGE-1 UNIT-1 (2X600 MW),STATE,600,12-12-2008,MADHYA PRADESH,BTG + CIVIL,PSSR,MPPGCL,12-12-2008,12-12-2008,12-06-2009,12-07-2009,12-07-2009,10-02-2010,12-10-2009,30-06-2010,11-05-2010,08-03-2011,N.A.,N.A.,11-04-2011,25-04-2012,11-11-2011,01-01-2013,N.A.,N.A.,11-11-2011,13-05-2013,30-11-2011,17-05-2013,11-12-2011,04-06-2013,11-12-2011,09-07-2013,N.A.,N.A.,12-08-2010,31-12-2011,12-10-2010,31-12-2011,11-10-2011,09-03-2013,01-10-2011,07-05-2013,11-11-2011,15-06-2013,05-01-2012,09-07-2013,N.A.,N.A.,11-01-2012,31-08-2013,11-03-2012,18-11-2013,N.A.,N.A.,11-06-2012,01-02-2014,11-05-2012,14-11-2014,,
94,BARH STPP STAGE-II UNIT-4 (2X660MW),CENTRAL,660,31-03-2008,BIHAR,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-03-2009,26-08-2009,N.A.,N.A.,N.A.,N.A.,30-09-2010,31-05-2012,25-04-2011,25-11-2012,N.A.,N.A.,15-05-2011,17-02-2013,25-05-2011,26-02-2013,01-07-2011,24-04-2013,31-07-2011,01-06-2013,N.A.,N.A.,14-08-2010,18-02-2011,14-10-2010,27-10-2011,14-09-2011,28-02-2013,14-11-2011,17-04-2013,14-12-2011,31-05-2013,14-01-2012,23-08-2013,N.A.,N.A.,14-02-2012,12-10-2013,14-06-2012,30-11-2013,N.A.,N.A.,14-06-2012,15-11-2014,14-06-2012,14-03-2015,14-06-2012,
95,SATPURA UNIT-11 ( 2 X 250 MW ) ,STATE,250,27-02-2009,MADHYA PRADESH,BTG + CIVIL,PSWR,MPPGCL,27-02-2009,27-02-2009,01-07-2009,30-10-2009,01-01-2010,07-01-2010,01-05-2010,01-07-2010,30-08-2010,16-02-2011,N.A.,N.A.,31-05-2011,30-04-2012,30-11-2011,30-06-2013,N.A.,N.A.,31-12-2011,21-07-2013,29-02-2012,25-07-2013,29-02-2012,18-08-2013,29-02-2012,29-08-2013,N.A.,N.A.,01-02-2011,18-08-2012,01-04-2011,15-05-2012,30-01-2012,30-05-2013,29-02-2012,28-06-2013,29-02-2012,12-08-2013,19-03-2012,08-09-2013,N.A.,N.A.,30-03-2012,02-10-2013,27-05-2012,25-12-2013,N.A.,N.A.,27-05-2012,16-03-2014,27-05-2012,23-05-2014,N.A.,N.A.
96,AMRAVATI TPP PH-I UNIT-2 (5 X 270 MW),PRIVATE,270,30-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2010,20-10-2010,31-01-2011,25-03-2011,N.A.,N.A.,31-10-2011,31-03-2012,31-01-2012,31-03-2013,N.A.,N.A.,25-02-2012,20-06-2013,29-02-2012,27-06-2013,05-03-2012,27-10-2013,30-03-2012,12-11-2013,N.A.,N.A.,31-05-2011,16-09-2011,N.A.,N.A.,31-03-2012,20-02-2013,01-04-2012,27-04-2013,25-04-2012,21-07-2013,30-04-2012,13-08-2013,N.A.,N.A.,30-04-2012,01-02-2014,30-05-2012,17-02-2014,N.A.,N.A.,31-07-2012,28-03-2014,31-07-2012,31-05-2014,N.A.,N.A.
97,DB SUPER TPP (JANJGIR CHAMPA) UNIT-1 (2X600 MW),PRIVATE,600,24-06-2010,CHHATTISGARH,BTG,PSWR,D.B. POWER LTD.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-05-2011,14-03-2011,24-09-2011,06-10-2011,N.A.,N.A.,26-07-2012,17-08-2012,25-12-2012,22-03-2013,N.A.,N.A.,N.A.,N.A.,20-01-2013,14-06-2013,25-01-2013,02-08-2013,24-02-2013,13-08-2013,N.A.,N.A.,25-12-2011,25-04-2012,N.A.,N.A.,25-12-2012,16-08-2013,01-03-2013,07-07-2013,27-03-2013,21-08-2013,27-04-2013,16-09-2013,N.A.,N.A.,23-05-2013,09-10-2013,22-08-2013,23-02-2014,N.A.,N.A.,22-09-2013,28-02-2014,22-09-2013,23-08-2014,22-09-2013,
98,NASIK INDIA BULLS PH-I UNIT-1 (5 X 270 MW ),PRIVATE,270,24-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-08-2010,03-11-2010,24-01-2011,31-03-2011,N.A.,N.A.,24-11-2011,28-03-2012,24-03-2012,22-10-2012,N.A.,N.A.,10-04-2012,09-01-2013,15-04-2012,17-01-2013,20-04-2012,19-03-2013,14-05-2012,20-04-2013,N.A.,N.A.,24-04-2011,28-07-2011,N.A.,N.A.,24-03-2012,10-11-2012,10-04-2012,11-01-2013,10-05-2012,16-04-2013,15-05-2012,31-05-2013,N.A.,N.A.,24-05-2012,05-02-2014,N.A.,N.A.,N.A.,N.A.,30-09-2012,29-03-2014,30-09-2012,05-03-2014,N.A.,N.A.
99,VALLUR TPS UNIT-3 (1X500 MW),CENTRAL,500,28-07-2009,TAMILNADU,BTG,PSSR,NTECL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-05-2010,22-10-2010,27-10-2010,29-07-2011,N.A.,N.A.,27-10-2011,30-09-2012,27-05-2012,31-08-2013,N.A.,N.A.,11-06-2012,13-11-2013,20-06-2012,18-11-2013,27-07-2012,23-12-2013,27-08-2012,08-01-2014,N.A.,N.A.,27-03-2011,15-06-2012,27-05-2011,15-09-2012,27-05-2012,24-09-2013,27-07-2012,13-12-2013,27-08-2012,22-01-2014,15-09-2012,14-02-2014,N.A.,N.A.,27-09-2012,28-02-2014,27-01-2013,28-02-2014,N.A.,N.A.,28-02-2013,26-02-2015,27-01-2013,03-06-2015,N.A.,N.A.
100,JINDAL POWER LTD-RAIGARH UNIT # 1 (4X600MW) (NUMBER AT SITE-2),PRIVATE,600,27-12-2008,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-11-2011,16-11-2011,25-02-2012,06-03-2012,N.A.,N.A.,12-11-2012,31-01-2013,02-03-2013,30-03-2013,N.A.,N.A.,29-03-2013,07-06-2013,02-04-2013,09-06-2013,04-03-2013,30-07-2013,15-03-2013,15-08-2013,N.A.,N.A.,17-03-2012,04-10-2012,N.A.,N.A.,19-01-2013,30-05-2013,01-03-2013,20-05-2013,20-03-2013,30-08-2013,25-03-2013,11-09-2013,N.A.,N.A.,15-05-2013,30-09-2013,15-06-2013,10-03-2014,N.A.,N.A.,15-06-2013,14-03-2014,15-06-2013,26-08-2014,,
101,MARWA TPP UNIT-1 (2X500 MW),STATE,500,31-12-2008,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-2010,15-02-2010,31-08-2010,06-08-2010,N.A.,N.A.,30-08-2011,05-10-2011,30-01-2012,14-01-2013,N.A.,N.A.,21-02-2012,01-08-2013,27-02-2012,21-08-2013,14-03-2012,01-10-2013,31-03-2012,27-10-2013,N.A.,N.A.,30-11-2010,07-03-2011,N.A.,N.A.,21-12-2011,23-02-2013,28-12-2011,14-02-2013,27-01-2012,15-08-2013,21-04-2012,09-11-2013,N.A.,N.A.,28-05-2012,21-12-2013,30-09-2012,30-03-2014,N.A.,N.A.,30-09-2012,31-03-2016,30-09-2012,16-01-2018,N.A.,N.A.
102,JINDAL POWER LTD-RAIGARH UNIT # 2 (4X600MW) (NUMBER AT SITE-3),PRIVATE,600,27-12-2008,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-02-2012,16-11-2011,25-05-2012,05-07-2012,N.A.,N.A.,10-02-2013,16-04-2013,31-05-2013,25-11-2013,N.A.,N.A.,29-06-2013,26-11-2013,02-07-2013,27-11-2013,04-06-2013,18-12-2013,15-06-2013,14-01-2014,N.A.,N.A.,15-06-2012,27-07-2012,N.A.,N.A.,19-04-2013,30-08-2013,01-06-2013,08-10-2013,20-06-2013,20-01-2014,25-06-2013,10-02-2014,N.A.,N.A.,15-08-2013,22-02-2014,15-09-2013,30-03-2014,N.A.,N.A.,15-09-2013,31-03-2014,15-09-2013,13-08-2014,,
103,DPL DURGAPUR UNIT-8 (250 MW),STATE,250,28-07-2010,WEST BENGAL,EPC,PSER,DPL,28-07-2010,28-07-2010,04-10-2010,31-01-2011,12-01-2011,25-02-2011,08-06-2011,30-09-2011,19-11-2011,19-04-2012,N.A.,N.A.,07-11-2012,24-01-2013,24-07-2013,20-01-2014,N.A.,N.A.,02-08-2013,06-02-2014,05-08-2013,07-02-2014,10-08-2013,26-02-2014,02-09-2013,04-03-2014,N.A.,N.A.,09-04-2012,28-06-2012,06-07-2012,20-09-2012,19-05-2013,19-07-2013,23-05-2013,11-11-2013,19-07-2013,19-02-2014,31-10-2013,03-03-2014,N.A.,N.A.,28-11-2013,28-03-2014,18-12-2013,31-03-2014,N.A.,N.A.,15-01-2014,07-10-2014,28-12-2013,12-06-2015,N.A.,N.A.
104,AVANTHA POWER (KWPCL) PHASE-I (1X600MW),PRIVATE,600,01-05-2009,CHHATTISGARH,BTG,PSWR,KORBA WEST POWER COMPANY LIMITED (KWPCL)(AVANTHA),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-04-2010,20-11-2010,31-10-2010,21-05-2011,N.A.,N.A.,31-10-2011,06-07-2012,30-04-2012,06-03-2013,N.A.,N.A.,15-05-2012,11-07-2013,30-05-2012,15-07-2013,01-06-2012,01-08-2013,30-06-2012,23-08-2013,N.A.,N.A.,31-01-2011,15-03-2012,31-03-2011,25-05-2012,31-03-2012,27-09-2013,10-04-2012,22-06-2013,30-04-2012,05-09-2013,30-06-2012,28-09-2013,N.A.,N.A.,31-07-2012,08-10-2013,31-10-2012,31-03-2014,N.A.,N.A.,31-10-2012,31-03-2014,31-10-2012,01-03-2015,31-10-2012,
105,JITPL DERANG UNIT-1(2 X 600 MW) ,PRIVATE,600,26-06-2009,ORISSA,BTG,PSSR,JINDAL INDIA THERMAL POWER LTD,N.A.,N.A.,20-06-2010,20-06-2010,N.A.,N.A.,16-08-2010,10-12-2010,15-01-2011,05-08-2011,N.A.,N.A.,22-10-2011,13-02-2013,22-04-2012,10-12-2013,N.A.,N.A.,25-04-2012,19-12-2013,22-05-2012,26-12-2013,08-06-2012,24-01-2014,22-07-2012,12-02-2014,N.A.,N.A.,22-02-2011,20-04-2012,22-03-2011,04-07-2012,09-05-2012,08-08-2013,09-05-2012,06-11-2013,22-06-2012,15-01-2014,13-07-2012,14-02-2014,N.A.,N.A.,10-08-2012,29-03-2014,26-08-2012,10-05-2014,N.A.,N.A.,26-08-2012,18-04-2015,26-08-2012,24-04-2015,N.A.,N.A.
106,CHHABRA UNIT-4 (2X250 MW),STATE,250,20-08-2008,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-09-2009,20-12-2010,22-03-2010,06-06-2011,N.A.,N.A.,23-11-2010,07-12-2012,15-04-2011,17-01-2014,N.A.,N.A.,26-04-2011,20-01-2014,02-05-2011,24-01-2014,20-05-2011,11-03-2014,20-06-2011,20-03-2014,N.A.,N.A.,22-04-2010,20-10-2012,N.A.,N.A.,27-05-2011,29-03-2014,07-06-2011,04-02-2014,04-07-2011,12-03-2014,10-07-2011,29-03-2014,N.A.,N.A.,31-07-2011,23-04-2014,30-09-2011,30-06-2014,N.A.,N.A.,30-09-2011,30-12-2014,30-09-2011,30-12-2014,N.A.,N.A.
107,SHREE SINGAJI (EARLIER MALWA) TPP STAGE-1 UNIT-2 (2X600 MW),STATE,600,12-12-2008,MADHYA PRADESH,BTG + CIVIL,PSSR,MPPGCL,12-12-2008,12-12-2008,12-06-2009,12-07-2009,12-11-2009,05-04-2010,12-02-2010,03-12-2010,11-09-2010,30-09-2011,N.A.,N.A.,11-08-2011,30-11-2012,11-03-2012,25-12-2013,N.A.,N.A.,24-03-2012,11-02-2014,31-03-2012,13-02-2014,01-04-2012,07-03-2014,11-04-2012,16-05-2014,N.A.,N.A.,12-12-2010,28-09-2012,12-02-2011,25-12-2012,11-02-2012,23-02-2014,11-03-2012,06-03-2014,11-03-2012,18-09-2014,05-05-2012,22-09-2014,N.A.,N.A.,11-05-2012,11-10-2014,11-07-2012,15-10-2014,N.A.,N.A.,11-10-2012,28-12-2014,11-09-2012,31-07-2015,N.A.,N.A.
108,JINDAL POWER LTD-RAIGARH UNIT # 3 (4X600MW) (NUMBER AT SITE-1),PRIVATE,600,27-12-2008,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-08-2012,23-11-2012,11-12-2012,27-02-2013,N.A.,N.A.,05-09-2013,30-10-2013,05-02-2014,25-01-2014,N.A.,N.A.,08-03-2014,06-02-2014,11-03-2014,09-02-2014,15-03-2014,20-02-2014,05-04-2014,07-03-2014,N.A.,N.A.,18-01-2013,01-10-2013,N.A.,N.A.,15-01-2014,10-02-2014,15-02-2014,15-12-2013,15-03-2014,14-03-2014,15-04-2014,28-03-2014,N.A.,N.A.,15-05-2014,31-03-2014,16-06-2014,07-01-2015,N.A.,N.A.,30-08-2014,14-01-2015,15-08-2014,14-01-2015,,
109,NEYVELI TPS II EXPANSION UNIT-2 (2X250 MW),CENTRAL,250,19-08-2005,TAMILNADU,EPC,PSSR,NLC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-10-2006,25-07-2007,19-03-2007,31-05-2008,N.A.,N.A.,18-01-2008,30-07-2010,19-06-2008,28-02-2013,N.A.,N.A.,01-07-2008,23-05-2013,10-07-2008,26-05-2013,01-08-2008,23-07-2013,01-09-2008,14-08-2013,N.A.,N.A.,19-05-2007,30-06-2009,N.A.,N.A.,17-05-2008,06-05-2011,16-06-2008,14-02-2012,18-07-2008,06-06-2012,18-08-2008,09-08-2012,N.A.,N.A.,19-09-2008,23-11-2014,19-11-2008,24-01-2015,N.A.,N.A.,22-11-2008,21-04-2015,19-12-2008,04-05-2016,N.A.,N.A.
110,"JITPL, DERANG UNIT-2 (2 X 600 MW)",PRIVATE,600,26-06-2009,ORISSA,BTG,PSSR,JINDAL INDIA THERMAL POWER LTD,N.A.,N.A.,20-06-2010,20-06-2010,N.A.,N.A.,14-11-2010,29-04-2011,13-04-2011,27-12-2011,N.A.,N.A.,20-01-2012,18-05-2013,21-07-2012,02-08-2014,N.A.,N.A.,25-07-2012,10-08-2014,22-08-2012,14-08-2014,06-09-2012,27-09-2014,21-10-2012,29-10-2014,N.A.,N.A.,22-05-2011,01-08-2013,22-06-2011,06-11-2013,10-08-2012,25-07-2014,10-08-2012,18-08-2014,22-09-2012,21-10-2014,11-10-2012,11-11-2014,N.A.,N.A.,08-11-2012,14-12-2014,24-11-2012,24-01-2015,N.A.,N.A.,24-11-2012,07-02-2015,24-11-2012,21-02-2015,N.A.,N.A.
111,AMRAVATI TPP PH-I UNIT-3 (5 X 270 MW),PRIVATE,270,30-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-2010,06-01-2011,31-03-2011,17-06-2011,N.A.,N.A.,31-12-2011,11-10-2012,31-03-2012,12-03-2014,N.A.,N.A.,25-04-2012,05-10-2014,30-04-2012,12-10-2014,05-05-2012,10-12-2014,30-05-2012,28-12-2014,N.A.,N.A.,31-07-2011,20-01-2012,N.A.,N.A.,31-05-2012,19-06-2013,01-06-2012,24-10-2013,25-06-2012,30-12-2013,30-06-2012,16-01-2014,N.A.,N.A.,30-06-2012,18-01-2015,30-07-2012,29-01-2015,N.A.,N.A.,30-09-2012,02-02-2015,30-09-2012,02-02-2015,N.A.,N.A.
112,BARH STPP STAGE-II UNIT-5 (2X660MW),CENTRAL,660,31-03-2008,BIHAR,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2009,26-02-2010,N.A.,N.A.,N.A.,N.A.,30-03-2011,29-11-2013,30-10-2011,11-06-2014,N.A.,N.A.,15-12-2011,13-10-2014,21-12-2011,29-10-2014,01-12-2012,12-11-2014,30-01-2012,07-01-2015,N.A.,N.A.,14-02-2011,25-01-2012,14-04-2011,01-01-2013,14-03-2012,21-04-2014,14-05-2012,09-02-2014,14-06-2012,04-12-2014,14-07-2012,05-12-2014,N.A.,N.A.,14-08-2012,01-03-2015,14-12-2012,04-03-2015,N.A.,N.A.,14-12-2012,18-02-2016,14-12-2012,20-03-2017,N.A.,N.A.
113,AMRAVATI TPP PH-I UNIT-4 (5 X 270 MW),PRIVATE,270,30-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-01-2011,17-02-2011,31-05-2011,27-11-2011,N.A.,N.A.,29-02-2012,30-03-2013,31-05-2012,26-12-2014,N.A.,N.A.,25-06-2012,29-12-2014,30-06-2012,01-01-2015,05-05-2012,12-01-2015,30-05-2012,24-01-2015,N.A.,N.A.,30-09-2011,29-06-2012,N.A.,N.A.,31-07-2012,04-10-2013,01-08-2012,09-06-2014,25-08-2012,07-10-2014,31-08-2012,02-12-2014,N.A.,N.A.,30-08-2012,02-03-2015,30-09-2012,04-03-2015,N.A.,N.A.,30-11-2012,07-03-2015,30-11-2012,07-03-2015,N.A.,N.A.
114,TUTICORIN UNIT-1 (2X500 MW ),CENTRAL,500,28-01-2009,TAMILNADU,BTG + CIVIL,PSSR,NTPL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-11-2009,03-11-2010,29-04-2010,29-09-2011,N.A.,N.A.,31-03-2011,28-09-2012,31-10-2011,19-03-2014,N.A.,N.A.,01-11-2011,05-04-2014,13-11-2011,10-04-2014,15-11-2011,21-05-2014,10-12-2011,19-06-2014,N.A.,N.A.,15-09-2010,10-07-2012,N.A.,N.A.,14-10-2011,23-10-2013,30-10-2011,20-01-2014,14-12-2011,06-06-2014,30-12-2011,20-07-2014,N.A.,N.A.,28-01-2012,18-02-2015,28-03-2012,10-03-2015,N.A.,N.A.,31-03-2012,06-06-2015,28-04-2012,22-01-2016,N.A.,N.A.
115,AMRAVATI TPP PH-I UNIT-5 (5 X 270 MW),PRIVATE,270,30-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-03-2011,25-03-2011,31-07-2011,13-01-2012,N.A.,N.A.,30-04-2012,06-12-2014,31-07-2012,26-01-2015,N.A.,N.A.,25-08-2012,29-01-2015,30-08-2012,02-02-2015,05-09-2012,06-02-2015,30-09-2012,15-02-2015,N.A.,N.A.,30-11-2011,16-07-2013,N.A.,N.A.,30-09-2012,19-10-2014,01-10-2012,10-12-2014,25-10-2012,09-02-2015,31-10-2012,26-02-2015,N.A.,N.A.,30-10-2012,11-03-2015,30-11-2012,12-03-2015,N.A.,N.A.,31-01-2013,25-03-2015,31-01-2013,01-12-2015,N.A.,N.A.
